area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
08113,0,10,70,0,2005,A,NA,663,4875,153171165,75352233,1715043,604,31421,NA,1,1,1,1,1,1,1,NA,28,4.4,274,6,15846802,11.5,4288921,6,533407,45.1,30,5.2,1572,5.3
08115,0,10,70,0,2005,A,NA,102,859,19699155,8445861,96115,441,22944,NA,1,1,1,1,1,1,1,NA,-1,-1,-1,-0.1,777580,4.1,291928,3.6,30973,47.5,18,4.3,951,4.3
08117,0,10,70,0,2005,A,NA,2081,17875,519184814,207245532,4355575,559,29045,NA,1,1,1,1,1,1,1,NA,78,3.9,217,1.2,20432192,4.1,6040539,3,1240025,39.8,16,2.9,800,2.8
08119,0,10,70,0,2005,A,NA,804,6622,189782562,77442451,1488283,551,28658,NA,1,1,1,1,1,1,1,NA,53,7.1,193,3,13101686,7.4,2689777,3.6,384202,34.8,23,4.4,1177,4.3
08121,0,10,70,0,2005,A,NA,124,1114,27180078,9712777,99061,469,24391,NA,1,1,1,1,1,1,1,NA,6,5.1,11,1,780501,3,429799,4.6,32432,48.7,9,2,449,1.9
08123,0,10,70,0,2005,A,NA,5630,77004,2590149626,730587939,16321878,647,33636,NA,1,1,1,1,1,1,1,NA,329,6.2,2171,2.9,151128598,6.2,40864762,5.9,4975228,43.8,20,3.2,1043,3.2
08125,0,10,70,0,2005,A,NA,371,3609,96892070,45585809,583577,516,26850,NA,1,1,1,1,1,1,1,NA,6,1.6,-9,-0.2,6945045,7.7,3879394,9.3,221758,61.3,38,7.9,1987,8
08999,0,10,70,0,2005,A,NA,2756,16570,1114389400,246616559,6790831,1293,67254,NA,1,1,1,1,1,1,1,NA,224,8.8,2439,17.3,215082485,23.9,27868082,12.7,1677920,32.8,69,5.6,3614,5.7
08000,0,10,50,0,2006,A,NA,174652,2242012,97541178732,22138812732,472318257,837,43506,NA,1,1,1,1,1,1,1,NA,5178,3.1,52496,2.4,6455536714,7.1,804874586,3.8,-52149769,-9.9,37,4.6,1905,4.6
08001,0,10,70,0,2006,A,NA,9267,152738,5998575893,1548235388,35694193,755,39274,NA,1,1,1,1,1,1,1,NA,280,3.1,5056,3.4,330677268,5.8,70034203,4.7,-3294057,-8.4,17,2.3,895,2.3
08003,0,10,70,0,2006,A,NA,580,7665,210084930,66657073,1113689,527,27408,NA,1,1,1,1,1,1,1,NA,11,1.9,82,1.1,11027944,5.5,1421503,2.2,-122146,-9.9,22,4.4,1156,4.4
08005,0,10,70,0,2006,A,NA,19705,276092,14338444781,2913852603,65201552,999,51934,NA,1,1,1,1,1,1,1,NA,365,1.9,4822,1.8,1160565158,8.8,79801565,2.8,-7570806,-10.4,65,7,3355,6.9
08007,0,10,70,0,2006,A,NA,605,3676,98705534,42240706,750509,516,26851,NA,1,1,1,1,1,1,1,NA,46,8.2,124,3.5,7698383,8.5,2317545,5.8,-56052,-6.9,23,4.7,1231,4.8
08009,0,10,70,0,2006,A,NA,130,1221,26129862,15508770,108852,411,21396,NA,1,1,1,1,1,1,1,NA,1,0.8,72,6.3,2617417,11.1,1610484,11.6,11784,12.1,17,4.3,930,4.5
08011,0,10,70,0,2006,A,NA,90,1207,33106479,15377442,101671,528,27434,NA,1,1,1,1,1,1,1,NA,-1,-1.1,-21,-1.7,371459,1.1,33092,0.2,-15059,-12.9,15,2.9,777,2.9
08013,0,10,70,0,2006,A,NA,12546,156914,7993885784,1428140396,32254666,980,50944,NA,1,1,1,1,1,1,1,NA,314,2.6,2547,1.6,412169149,5.4,35153765,2.5,-3873540,-10.7,35,3.7,1829,3.7
08014,0,10,70,0,2006,A,NA,1938,29705,1660260510,329754831,8084896,1075,55891,NA,1,1,1,1,1,1,1,NA,119,6.5,967,3.4,175440321,11.8,21541320,7,-744437,-8.4,81,8.1,4224,8.2
08015,0,10,70,0,2006,A,NA,936,6561,173277920,62155012,1073832,508,26409,NA,1,1,1,1,1,1,1,NA,28,3.1,111,1.7,10406305,6.4,3359468,5.7,-81088,-7,22,4.5,1159,4.6
08017,0,10,70,0,2006,A,NA,87,764,26093691,7699501,105181,657,34150,NA,1,1,1,1,1,1,1,NA,-5,-5.4,-42,-5.2,1361698,5.5,29043,0.4,-2315,-2.2,67,11.4,3478,11.3
08019,0,10,70,0,2006,A,NA,419,3208,114436106,37735677,651672,686,35667,NA,1,1,1,1,1,1,1,NA,-2,-0.5,113,3.7,9930684,9.5,2527655,7.2,-34858,-5.1,37,5.7,1896,5.6
08021,0,10,70,0,2006,A,NA,143,1320,32595703,13863816,188283,475,24691,NA,1,1,1,1,1,1,1,NA,-3,-2.1,-24,-1.8,28105,0.1,6618,0,-16056,-7.9,9,1.9,452,1.9
08023,0,10,70,0,2006,A,NA,83,725,16508117,10324337,123820,438,22759,NA,1,1,1,1,1,1,1,NA,1,1.2,-23,-3.1,114138,0.7,260063,2.6,-18118,-12.8,17,4,854,3.9
08025,0,10,70,0,2006,A,NA,54,1103,35356831,11011645,133098,616,32043,NA,1,1,1,1,1,1,1,NA,-6,-10,42,4,3110135,9.6,1075410,10.8,7005,5.6,31,5.3,1641,5.4
08027,0,10,70,0,2006,A,NA,184,902,21242971,10306725,157050,453,23555,NA,1,1,1,1,1,1,1,NA,-3,-1.6,-14,-1.5,544460,2.6,-62867,-0.6,-35638,-18.5,19,4.4,969,4.3
08029,0,10,70,0,2006,A,NA,920,8570,232208656,88050810,1377874,521,27094,NA,1,1,1,1,1,1,1,NA,39,4.4,417,5.1,19064596,8.9,8672861,10.9,-62068,-4.3,18,3.6,950,3.6
08031,0,10,70,0,2006,A,NA,25288,432461,22830172100,4189483498,93430486,1015,52791,NA,1,1,1,1,1,1,1,NA,447,1.8,7802,1.8,1573520056,7.4,119992440,2.9,-11990317,-11.4,52,5.4,2735,5.5
08033,0,10,70,0,2006,A,NA,67,416,9086486,5537207,66746,420,21838,NA,1,1,1,1,1,1,1,NA,-1,-1.5,14,3.5,1122723,14.1,486528,9.6,4650,7.5,39,10.2,2044,10.3
08035,0,10,70,0,2006,A,NA,8903,87416,3711342991,924521534,19481745,816,42456,NA,1,1,1,1,1,1,1,NA,642,7.8,4486,5.4,299379414,8.8,43414060,4.9,-2427089,-11.1,25,3.2,1313,3.2
08037,0,10,70,0,2006,A,NA,3489,30584,1193320219,397340666,7329520,750,39018,NA,1,1,1,1,1,1,1,NA,131,3.9,1471,5.1,132802728,12.5,25598785,6.9,-487074,-6.2,49,7,2591,7.1
08039,0,10,70,0,2006,A,NA,690,3731,113626069,56185007,820095,586,30458,NA,1,1,1,1,1,1,1,NA,43,6.6,116,3.2,7366237,6.9,3806871,7.3,-35736,-4.2,21,3.7,1067,3.6
08041,0,10,70,0,2006,A,NA,17346,245228,9463794875,2200925693,49564021,742,38592,NA,1,1,1,1,1,1,1,NA,720,4.3,5445,2.3,470449975,5.2,62828508,2.9,-5384869,-9.8,21,2.9,1086,2.9
08043,0,10,70,0,2006,A,NA,985,13549,424600981,101939384,1881495,603,31338,NA,1,1,1,1,1,1,1,NA,35,3.7,214,1.6,18955213,4.7,4956276,5.1,-150731,-7.4,18,3.1,919,3
08045,0,10,70,0,2006,A,NA,2697,25473,987952599,296388658,6441286,746,38785,NA,1,1,1,1,1,1,1,NA,166,6.6,2512,10.9,179354087,22.2,44935383,17.9,161114,2.6,69,10.2,3569,10.1
08047,0,10,70,0,2006,A,NA,166,5330,181128643,76022436,1314884,654,33986,NA,1,1,1,1,1,1,1,NA,6,3.8,-104,-1.9,-1385905,-0.8,-415119,-0.5,-126882,-8.8,8,1.2,401,1.2
08049,0,10,70,0,2006,A,NA,991,7100,196426959,76635713,1280932,532,27666,NA,1,1,1,1,1,1,1,NA,41,4.3,247,3.6,14084933,7.7,4171452,5.8,-125749,-8.9,20,3.9,1058,4
08051,0,10,70,0,2006,A,NA,1116,8388,240866749,85409373,1449967,552,28716,NA,1,1,1,1,1,1,1,NA,79,7.6,497,6.3,20921233,9.5,9238126,12.1,-40825,-2.7,16,3,841,3
08053,0,10,70,0,2006,A,NA,84,281,6090551,3579332,37935,417,21681,NA,1,1,1,1,1,1,1,NA,1,1.2,5,1.8,458477,8.1,94240,2.7,-6570,-14.8,25,6.4,1306,6.4
08055,0,10,70,0,2006,A,NA,232,2007,49483591,21881941,322626,474,24656,NA,1,1,1,1,1,1,1,NA,0,0,97,5.1,3712021,8.1,1146727,5.5,2803,0.9,13,2.8,697,2.9
08057,0,10,70,0,2006,A,NA,82,571,13891445,6348189,93911,468,24335,NA,1,1,1,1,1,1,1,NA,-3,-3.5,-11,-1.9,251259,1.8,-46309,-0.7,-25207,-21.2,17,3.8,885,3.8
08059,0,10,70,0,2006,A,NA,18782,207159,8869227156,1956290925,40430626,823,42814,NA,1,1,1,1,1,1,1,NA,262,1.4,1128,0.5,315529246,3.7,49225364,2.6,-5141728,-11.3,25,3.1,1297,3.1
08061,0,10,70,0,2006,A,NA,47,392,8525056,3849218,27941,418,21761,NA,1,1,1,1,1,1,1,NA,-3,-6,-13,-3.2,70595,0.8,-179643,-4.5,-19206,-40.7,17,4.2,903,4.3
08063,0,10,70,0,2006,A,NA,296,2917,73578308,28791763,318136,485,25220,NA,1,1,1,1,1,1,1,NA,-3,-1,11,0.4,4015482,5.8,247731,0.9,-62061,-16.3,25,5.4,1280,5.3
08065,0,10,70,0,2006,A,NA,236,1989,50438061,16108902,253791,488,25360,NA,1,1,1,1,1,1,1,NA,3,1.3,86,4.5,3337858,7.1,990842,6.6,-10607,-4,12,2.5,615,2.5
08067,0,10,70,0,2006,A,NA,2564,24826,844797970,302564895,4747395,654,34029,NA,1,1,1,1,1,1,1,NA,89,3.6,1272,5.4,87221585,11.5,29006068,10.6,-257486,-5.1,35,5.7,1866,5.8
08069,0,10,70,0,2006,A,NA,10033,127335,4831112289,1124958685,23743318,730,37940,NA,1,1,1,1,1,1,1,NA,363,3.8,2353,1.9,255261218,5.6,25716581,2.3,-3207473,-11.9,26,3.7,1328,3.6
08071,0,10,70,0,2006,A,NA,506,5839,167795536,68109274,1014734,553,28736,NA,1,1,1,1,1,1,1,NA,4,0.8,265,4.8,20514541,13.9,5155697,8.2,3313,0.3,45,8.9,2311,8.7
08073,0,10,70,0,2006,A,NA,175,2125,60534098,19794697,191659,548,28487,NA,1,1,1,1,1,1,1,NA,-3,-1.7,-24,-1.1,1176231,2,80657,0.4,-32305,-14.4,17,3.2,871,3.2
08075,0,10,70,0,2006,A,NA,705,8340,228817563,67656769,1012306,528,27436,NA,1,1,1,1,1,1,1,NA,17,2.5,-61,-0.7,2049536,0.9,-880910,-1.3,-152769,-13.1,9,1.7,442,1.6
08077,0,10,70,0,2006,A,NA,4803,57970,1955284224,521378312,11398705,649,33729,NA,1,1,1,1,1,1,1,NA,231,5.1,2410,4.3,198991279,11.3,30143221,6.1,-668046,-5.5,41,6.7,2118,6.7
08079,0,10,70,0,2006,A,NA,71,464,10615740,6704129,82272,440,22858,NA,1,1,1,1,1,1,1,NA,-1,-1.4,112,31.8,4006060,60.6,1843671,37.9,26670,48,79,21.9,4076,21.7
08081,0,10,70,0,2006,A,NA,495,5175,186177319,47330279,791543,692,35979,NA,1,1,1,1,1,1,1,NA,24,5.1,231,4.7,19454154,11.7,3344687,7.6,-1871,-0.2,44,6.8,2257,6.7
08083,0,10,70,0,2006,A,NA,861,9358,249572043,98729177,1813634,513,26668,NA,1,1,1,1,1,1,1,NA,38,4.6,152,1.7,9634254,4,2283530,2.4,-276065,-13.2,12,2.4,604,2.3
08085,0,10,70,0,2006,A,NA,1471,14904,444738303,133441623,2699958,574,29841,NA,1,1,1,1,1,1,1,NA,86,6.2,481,3.3,29347521,7.1,5036571,3.9,-362650,-11.8,20,3.6,1039,3.6
08087,0,10,70,0,2006,A,NA,736,11180,328862949,99199292,1608246,566,29416,NA,1,1,1,1,1,1,1,NA,11,1.5,-45,-0.4,14874916,4.7,1719400,1.8,-227720,-12.4,28,5.2,1445,5.2
08089,0,10,70,0,2006,A,NA,557,6543,161965158,58230450,936244,476,24756,NA,1,1,1,1,1,1,1,NA,0,0,-200,-3,184976,0.1,-374055,-0.6,-120550,-11.4,15,3.3,765,3.2
08091,0,10,70,0,2006,A,NA,321,1731,49123989,24364225,437065,546,28383,NA,1,1,1,1,1,1,1,NA,16,5.2,47,2.8,4051439,9,944729,4,-19565,-4.3,31,6,1614,6
08093,0,10,70,0,2006,A,NA,590,2351,70496782,29909649,394073,577,29984,NA,1,1,1,1,1,1,1,NA,35,6.3,122,5.5,6148264,9.6,2192040,7.9,-33369,-7.8,22,4,1111,3.8
08095,0,10,70,0,2006,A,NA,153,1532,38467774,19044450,158598,483,25118,NA,1,1,1,1,1,1,1,NA,0,0,-31,-2,587317,1.6,-261481,-1.4,-37969,-19.3,17,3.6,885,3.7
08097,0,10,70,0,2006,A,NA,1928,16873,694601043,230845365,4498671,792,41166,NA,1,1,1,1,1,1,1,NA,52,2.8,491,3,47733479,7.4,10711571,4.9,-682913,-13.2,33,4.3,1679,4.3
08099,0,10,70,0,2006,A,NA,423,4949,125463253,51230616,672291,488,25353,NA,1,1,1,1,1,1,1,NA,-5,-1.2,-489,-9,-10348441,-7.6,-2734736,-5.1,-196838,-22.6,8,1.7,376,1.5
08101,0,10,70,0,2006,A,NA,3451,55153,1706472813,440905932,9936255,595,30941,NA,1,1,1,1,1,1,1,NA,39,1.1,1423,2.6,85713298,5.3,9838055,2.3,-961945,-8.8,15,2.6,776,2.6
